"","pval","direction","color","goodgenes","GOterm","Punch"
"61/87 structural constituent of ribosome",1.00000000000009e-15,1,"lightsalmon","61/87","structural constituent of ribosome","CA1"
"24/55 rRNA binding",2.29571103546872e-08,1,"lightsalmon","24/55","rRNA binding","CA1"
"87/742 signal transducer activity",7.22417433067256e-08,0,"red","87/742","signal transducer activity","CA1"
"72/441 chromatin binding",6.57866840828746e-09,0,"red","72/441","chromatin binding","CA1"
"80/723 sequence-specific DNA binding transcription factor activity",1.00902341442959e-11,0,"red","80/723","sequence-specific DNA binding transcription factor activity","CA1"
"83/660 sequence-specific DNA binding",2.55410561036707e-10,0,"red","83/660","sequence-specific DNA binding","CA1"
"71/514 regulatory region nucleic acid binding",1.93408425592833e-08,0,"red","71/514","regulatory region nucleic acid binding","CA1"
"31/64 hydrogen ion transmembrane transporter activity",1.00902341442959e-11,1,"lightsalmon","31/64","hydrogen ion transmembrane transporter activity","CA1"
"18/36 oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",1.02470018886584e-11,1,"lightsalmon","18/36","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","CA1"
"111/577 oxidoreductase activity",5.11441343625878e-11,1,"lightsalmon","111/577","oxidoreductase activity","CA1"
"23/62 oxidoreductase activity, acting on NAD(P)H",3.13332410394635e-10,1,"lightsalmon","23/62","oxidoreductase activity, acting on NAD(P)H","CA1"
"4/84 structural constituent of ribosome",0.00879135650430083,0,"grey20","4/84","structural constituent of ribosome","CA1"
"82/784 poly(A) RNA binding",0.00319743257938804,0,"grey20","82/784","poly(A) RNA binding","CA1"
"63/384 cation transmembrane transporter activity",0.00618657806256571,1,"grey60","63/384","cation transmembrane transporter activity","CA1"
"92/651 transmembrane transporter activity",0.000704453285917472,1,"grey60","92/651","transmembrane transporter activity","CA1"
"106/794 transporter activity",0.00196861274722208,1,"grey60","106/794","transporter activity","CA1"
"35/273 channel activity",0.00621802241665752,1,"grey60","35/273","channel activity","CA1"
"5/23 Wnt-protein binding",0.00879135650430083,1,"grey60","5/23","Wnt-protein binding","CA1"
"58/553 receptor activity",0.000704453285917472,1,"grey60","58/553","receptor activity","CA1"
"70/675 signal transducer activity",0.00618657806256571,1,"grey60","70/675","signal transducer activity","CA1"
"5/23 glutamate receptor activity",0.00404383339613373,1,"grey60","5/23","glutamate receptor activity","CA1"
"3/60 hydrogen ion transmembrane transporter activity",0.00653286079741127,1,"salmon","3/60","hydrogen ion transmembrane transporter activity","CA3"
"33/592 receptor activity",2.49432011476497e-05,0,"red","33/592","receptor activity","CA3"
"44/714 signal transducer activity",2.49432011476497e-05,0,"red","44/714","signal transducer activity","CA3"
"8/65 transmembrane receptor protein kinase activity",0.021318079445647,0,"red","8/65","transmembrane receptor protein kinase activity","CA3"
"17/215 cell adhesion molecule binding",0.00218726990717988,0,"red","17/215","cell adhesion molecule binding","CA3"
"36/788 poly(A) RNA binding",0.00653286079741127,1,"salmon","36/788","poly(A) RNA binding","CA3"
"1/42 translation initiation factor activity",0.0205349356201626,1,"salmon","1/42","translation initiation factor activity","CA3"
"3/71 translation factor activity, nucleic acid binding",0.00653286079741127,1,"salmon","3/71","translation factor activity, nucleic acid binding","CA3"
"1/19 mitogen-activated protein kinase kinase binding",0.0676102638210396,0,"grey20","1/19","mitogen-activated protein kinase kinase binding","CA3"
"4/86 structural constituent of ribosome",8.85322494521683e-14,0,"grey20","4/86","structural constituent of ribosome","CA3"
"27/302 structural molecule activity",6.35974407723128e-09,0,"grey20","27/302","structural molecule activity","CA3"
"2/35 oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.0134222979750654,1,"salmon","2/35","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","DG"
"3/62 hydrogen ion transmembrane transporter activity",0.0213857559406248,1,"salmon","3/62","hydrogen ion transmembrane transporter activity","DG"
"8/132 core promoter binding",0.0592791211888577,0,"red","8/132","core promoter binding","DG"
"30/794 poly(A) RNA binding",0.0134222979750654,0,"red","30/794","poly(A) RNA binding","DG"
"9/62 unfolded protein binding",0.0134222979750654,0,"red","9/62","unfolded protein binding","DG"
"0/15 nucleoside diphosphate kinase activity",0.0344009729714038,0,"grey20","0/15","nucleoside diphosphate kinase activity","DG"
"39/518 regulatory region nucleic acid binding",0.0227157336928198,1,"red","39/518","regulatory region nucleic acid binding","DG"
"10/91 core promoter sequence-specific DNA binding",0.00826442279082279,1,"red","10/91","core promoter sequence-specific DNA binding","DG"
"13/133 core promoter binding",0.00677159052441457,1,"red","13/133","core promoter binding","DG"
"12/161 phosphatase binding",0.00826442279082279,1,"red","12/161","phosphatase binding","DG"
"21/224 cell adhesion molecule binding",0.01212213599679,1,"red","21/224","cell adhesion molecule binding","DG"
"5/42 collagen binding",0.0157423246941381,1,"red","5/42","collagen binding","DG"
"43/875 protein complex binding",0.0169535713304355,1,"red","43/875","protein complex binding","DG"
"7/174 amide binding",0.0344009729714038,1,"red","7/174","amide binding","DG"
"2/34 signal sequence binding",0.00826442279082279,1,"red","2/34","signal sequence binding","DG"
"2/21 nuclear localization sequence binding",0.0082278826917901,1,"red","2/21","nuclear localization sequence binding","DG"
"3/57 RNA-dependent ATPase activity",0.0251221828254587,1,"red","3/57","RNA-dependent ATPase activity","DG"
"38/795 poly(A) RNA binding",0.00826442279082279,1,"red","38/795","poly(A) RNA binding","DG"
"9/62 unfolded protein binding",0.0227157336928198,1,"red","9/62","unfolded protein binding","DG"
"10/97 heat shock protein binding",0.00826442279082279,1,"red","10/97","heat shock protein binding","DG"
"8/57 chaperone binding",0.0383925060141577,1,"red","8/57","chaperone binding","DG"
"2/66 exonuclease activity",0.0732609732180479,0,"grey20","2/66","exonuclease activity","DG"
"4/61 hydrogen ion transmembrane transporter activity",0.0387096173068017,1,"grey60","4/61","hydrogen ion transmembrane transporter activity","DG"
"16/559 oxidoreductase activity",0.0387096173068017,1,"grey60","16/559","oxidoreductase activity","DG"
