category,GO,candidates,SanesLichtman,DG DEGs
hypothesis,01_responsetostimulus,"Camk2a, Fmr1, Gria2, Igf2, Mtor, Wwc1","Adcy1, Adra2a, Adra2b, Adra2c, Adrb1, Adrb2, Adrb3, Cacna1a, Cacna1b, Cacna1c, Cacna1d, Cacna1e, Cacna1f, Cacna1s, Calb1, Calm1, Calm2, Calm3, Camk1, Camk4, Capn1, Capn10, Capn2, Capn3, Ccr7, Cd47, Cdh1, Cdh2, Chrm1, Chrm2, Chrm3, Chrm4, Chrm5, Chrna1, Chrna3, Chrna7, Chrnb1, Chrnb2, Chrnb3, Cnga2, Fgf2, Fyn, Gabbr1, Gabra1, Gabra2, Gabra3, Gabra5, Gabra6, Gabrb1, Gabrb2, Gabrb3, Gabrr1, Gap43, Gfap, Gria1, Gria2, Grin1, Grin2a, Grin2d, Grm1, Grm4, Grm5, Grm7, Gucy1a2, Gucy1b2, Gucy2c, Gucy2d, Gucy2e, Gucy2g, Homer1, Homer2, Homer3, Htr1a, Htr1b, Htr1f, Htr2a, Htr2b, Htr2c, Htr3a, Htr3b, Htr4, Htr5a, Htr5b, Htr6, Htr7, Il1b, Inhba, Itga1, Itga10, Itga11, Itga2, Itga2b, Itga3, Itga4, Itga5, Itga6, Itga7, Itga8, Itga9, Itgad, Itgae, Itgal, Itgam, Itgav, Itgax, Itgb1, Itgb1bp1, Itgb2, Itgb2l, Itgb3, Itgb4, Itgb5, Itgb6, Itgb7, Itgb8, Itgbl1, Itpkb, L1cam, Mapk1, Mapk11, Mapk12, Mapk14, Mapk3, Mapk4, Mapk6, Mapk7, Mapk8, Mapk9, Mas1, Ncam1, Ngf, Nos1, Nos3, Nrg1, Nrg2, Nrg3, Nrgn, Pnoc, Sptbn1, Src, Stx1b, Syp, Th, Thy1, Tnc, Ube3a, Vamp2, Vamp3, Vamp4, Vamp8","Abhd2, Adrb1, Ahr, Ankrd27, Apaf1, Arc, Arid5b, Arl13b, Arpp21, Atf3, B3gnt2, Bach1, BC048403, Bmt2, Btg2, C2cd4b, Ccnk, Cited2, Fbxw7, Fermt2, Flrt3, Fos, Fosb, Fosl2, Foxg1, Foxo1, Fzd4, Fzd5, Gadd45g, Gnaz, Gpi1, Gpr19, Hmgcr, Homer1, Hspa1a, Hsph1, Il16, Ing2, Irs1, Irs2, Jun, Junb, Jund, Kdm6b, Kitl, Klf2, Klf6, Klkb1, Lbh, Lemd3, Lmna, Mc1r, Mest, Myc, Nedd9, Nfil3, Npas4, Nptx2, Nr4a1, Nr4a2, Nr4a3, Ppp1r15a, Slc16a1, Slc25a25, Slitrk5, Smad7, Sox9, Srf, Srgap1, Stac2, Syt4, Thbs1, Tiparp, Tnip2, Tra2b, Trib1, Tsc22d2, Zbtb33, Zfand5"
hypothesis,02_translation,"Fmr1, Mtor",NA,"Cpeb4, Eif5"
hypothesis,03_synapseorganization,"Fmr1, Pick1","Ache, Bdnf, Cacna1a, Cacna1s, Camk1, Cdh1, Cdh2, Chrna1, Chrna7, Chrnb1, Chrnb2, Dlg4, Drd1, Efna5, Epha5, Erbb4, Fyn, Gabra1, Gabrb2, Gabrb3, Gap43, Grin1, Grin2a, Grm5, Homer1, Htr1a, Itga3, Itgam, Itpka, L1cam, Mapk14, Nrg1, Nrg2, Ntrk2, Ptn, Rab3a, Syn1, Tnc, Ube3a","Amigo2, Arc, Bdnf, Flrt3, Fzd5, Homer1, Lrrtm2, Npas4, Pcdh8, Slitrk5"
hypothesis,04_learningormemory,"Igf2, Mtor, Prkcz","Adcy1, Adrb1, Adrb2, Bdnf, Cacna1c, Cacna1e, Calb1, Camk4, Chrna7, Chrnb2, Cnr1, Creb1, Drd1, Egr1, Gabra5, Gria1, Grin1, Grin2a, Grm4, Grm5, Grm7, Htr2a, Htr6, Htr7, Il1b, Itga3, Itga5, Itga8, Itgb1, Ncam1, Ngf, Ntrk2, Oprl1, Pla2g6, Plcb1, Prkar1b, Prkcz, Ptn, S100b, Snap25, Th","Adrb1, Arc, Bdnf, Btg2, Egr1, Hmgcr, Jun, Npas4, Nptx2, Pak6, Plk2, Ptgs2, Sgk1, Srf, Syt4"
ShinyGO,05_negregcellprocess,"Fmr1, Prkcb, Prkci, Prkcz","Adra2a, Adrb2, Bdnf, Creb1, Dlg4, Drd1, Edn1, Efna5, Egr1, Epha5, Erbb4, Fgf2, Gfap, Mas1, Ncam1, Ngf, Ppp3ca, Prkacb, Prkar1b, Prkcg, Prkcz, Prkg1, Rarb, Sptan1, Sptbn1, Src, Thy1, Ube3a","Abhd2, Acan, Ahr, Amigo2, Ankrd13a, Ankrd27, Arc, Arid5b, Atf3, Bach1, BC048403, Bdnf, Bmt2, Cpeb4, Ctnnd1, Cul3, Cxadr, Cyp51, Dusp16, Dusp4, Dusp6, Dusp8, Dyrk2, Eef1e1, Egr1, Egr3, Eprs, Erf, Errfi1, Fbxw7, Foxg1, Foxo1, Hmgcr, Kitl, Klf2, Lbh, Lemd3, Naf1, Nfil3, Pou3f3, Ppp1r15a, Rasd1, Rasl11b, Sgk1, Siah2, Smad7, Srf, Srgap1, Syt4, Thbs1, Tubb4a"
ShinyGO,06_regcellmacbiosyn,"Camk2a, Fmr1, Prkcb, Prkci, Prkcz","Adcy1, Adrb2, Bdnf, Cacna1d, Camk1, Camk4, Capn3, Ccr7, Cdh1, Fgf2, Grin1, Grm5, Mapk1, Mapk14, Mapk3, Mapk7, Mapk8, Mapk9, Mas1, Ppp3ca, Ppp3cb, Prkcz, Ube3a","Ahr, Arid5b, Atf3, Bach1, Bdnf, Btg2, Ccnk, Ciart, Cited2, Dnajb1, Fos, Fosb, Fosl2, Foxg1, Foxo1, Fzd4, Fzd5, Gmeb2, Klf2, Klf6, Lbh, Lemd3, Mc1r, Med7, Mn1, Zfp654, Zfp668, Zfp869"
ShinyGO,07_regmacbiosyn,"Camk2a, Fmr1, Prkcb, Prkci, Prkcz","Adcy1, Adrb2, Bdnf, Cacna1d, Camk1, Camk4, Capn3, Ccr7, Cdh1, Fgf2, Grin1, Grm5, Mapk1, Mapk14, Mapk3, Mapk7, Mapk8, Mapk9, Mas1, Ppp3ca, Ppp3cb, Prkcz, Ube3a","Ahr, Arid5b, Atf3, Bach1, Bdnf, Btg2, Ccnk, Ciart, Cited2, Dnajb1, Fos, Fosb, Fosl2, Foxg1, Foxo1, Fzd4, Fzd5, Gmeb2, Klf2, Klf6, Lbh, Lemd3, Mc1r, Med7, Mn1, Zfp654, Zfp668, Zfp869"
ShinyGO,08_cellresponchemstim,"Camk2a, Fmr1, Igf2, Mtor, Pick1, Prkcb, Prkci, Prkcz","Adra2a, Adrb2, Bdnf, Cacna1a, Cacna1d, Cacna1e, Calb1, Capn1, Capn10, Capn2, Capn3, Ccr7, Cd47, Cdh1, Chrm1, Chrm2, Chrm3, Chrm4, Chrm5, Chrna3, Chrna7, Chrnb2, Cnr2, Creb1, Dlg4, Drd1, Edn1, Efna5, Egr1, Egr2, Epha5, Erbb4, Fgf2, Fyn, Gabra1, Gabrb1, Gabrb2, Gabrb3, Grin1, Grin2a, Grm5, Htr1a, Htr1b, Htr1f, Htr2a, Htr2b, Htr2c, Htr5a, Htr5b, Htr7, Il1b, Inhba, Itga1, Itga3, Itga4, Itga8, Itga9, Itgam, Itgb1, Itgb1bp1, Itgb2, Itgb3, Itgb5, Itpkb, Mapk1, Mapk11, Mapk14, Mapk3, Mapk4, Mapk6, Mapk7, Mapk8, Mapk9, Ngf, Nos1, Nos3, Ntrk2, Oprd1, Oprm1, Parp1, Phpt1, Pla2g10, Pla2g4a, Pla2g4f, Pla2g6, Pla2g7, Plcb1, Plcg1, Ppp3ca, Ppp3cb, Prkcz, Ptn, Rarb","Abhd2, Ahr, Apaf1, Arid5b, Atf3, B3gnt2, Bach1, Bdnf, Cited2, Cpeb4, Cpne7, Cul3, Cxadr, Dnaja1, Eef1e1, Egr1, Egr3, Eprs, Fbxw7, Fermt2, Flrt3, Fos, Fosb, Foxo1, Fzd4, Hmgcr, Hspa1a, Hsph1, Il16, Ing2, Irs1, Irs2, Jun, Junb, Jund, Kdm6b, Klf2, Klf6, Lbh, Lemd3, Myc, Nfil3, Npas4, Nr4a1, Nr4a2, Nr4a3, Peg10, Per1, Piga, Plk3, Ppp1r15a, Ptgs2, Pxn, Rasl11b, Rfx2, Rgmb, Rgs4, Scg2, Sgk1"
random,09_DNArepair,NA,Prkcg,"Bach1, Hspa1a, Mc1r"
random,10_signaltransduction,"Camk2a, Fmr1, Gria2, Igf2, Mtor, Pick1","Adcy1, Adra2a, Adra2b, Adra2c, Adrb1, Adrb2, Adrb3, Bdnf, Cacna1a, Cacna1d, Cacna1f, Calm1, Calm2, Calm3, Camk1, Camk4, Capn1, Capn3, Ccr7, Cd47, Cdh1, Cdh2, Chrm1, Chrm2, Chrm3, Chrm4, Chrm5, Chrna1, Chrna3, Chrna7, Chrnb1, Chrnb2, Chrnb3, Cnr1, Cnr2, Creb1, Dlg4, Drd1, Edn1, Efna5, Egf, Egr1, Epha5, Erbb4, Fgf2, Fyn, Gabbr1, Gabra1, Gabra2, Gabra3, Gabra5, Gabra6, Gabrb1, Gabrb2, Gabrb3, Gabrr1, Gria2, Grin1, Grin2a, Grin2d, Grm1, Grm4, Grm5, Grm7, Gucy1a2, Gucy1b2, Gucy2c, Gucy2d, Gucy2e, Gucy2g, Homer1, Homer2, Homer3, Htr1a, Htr1b, Htr1f, Htr2a, Htr2b, Htr2c, Htr3a, Htr3b, Htr4, Htr5a, Htr5b, Htr6, Htr7, Il1b, Inhba, Itga1, Itga10, Itga11, Itga2, Itga2b, Itga3, Itga4, Itga5, Itga6, Itga7, Itga8, Itga9, Itgad, Itgae, Itgal, Itgam, Itgav, Itgax, Itgb1, Itgb1bp1, Itgb2, Itgb2l, Itgb3, Itgb4, Itgb5, Itgb6, Itgb7, Itgb8, Itgbl1, Itpkb, L1cam, Mapk1, Mapk11, Mapk12, Mapk14, Mapk3, Mapk4, Mapk6, Mapk7, Mapk8, Mapk9, Mas1, Ncam1, Ngf, Nos1, Nos3, Nrg1, Nrg2, Nrg3, Nrgn, Ntrk2, Oprd1, Oprl1, Oprm1, Parp1, Phpt1, Pla2g5, Pla2g6, Plat, Plcb1, Plcb2, Plcb3, Plcb4, Plcg1, Plcg2, Pnoc","Abhd2, Adrb1, Ahr, Apaf1, Arc, Arid5b, Arl13b, Atf3, BC048403, Bdnf, Bmt2, Cited2, Cpeb4, Ctnnd1, Cul3, Dnaja1, Dusp16, Dusp4, Dusp6, Dusp8, Dyrk2, Eef1e1, Egr1, Errfi1, Fbxw7, Fermt2, Flrt3, Fos, Foxo1, Fzd4, Fzd5, Gadd45g, Gnaz, Gpr19, Hmgcr, Homer1, Hsph1, Ing2, Irs1, Irs2, Jun, Kitl, Klf2, Klf6, Lbh, Lemd3, Lmna, Mc1r, Myc, Nedd9, Npas4, Nptx2, Nr4a2, Nr4a3, Nuak1, Pak6, Pde6a, Peg10, Peli1, Per1, Pgam2, Plch2, Plk2, Plk3, Ppp1r15a"
