"N","High level GO category","Genes"
64,"Regulation of response to stimulus ","NPTX2 PLK2 ERRFI1 DUSP4 GADD45G SYT4 PAK6 DUSP6 TRIB1 LEMD3 ARC SMAD7 HOMER1 NUAK1 DNAJA1 PPP1R15A FBXW7 MYC THBS1 FOXO1 FZD5 CITED2 ING2 TNIP2 IRS1 SCG2 HSPA1A C2CD4B PEG10 PTGS2 SH2D3C DUSP16 HMGCR RGS2 RGS4 NR4A3 EGR1 APAF1 SOX9 RASL11B LMNA ATF3 IL16 FZD4 BDNF JUN DUSP8 PELI1 LBH DUSP14 SIAH2 CUL3 DYRK2 NR4A2 CTNND1 PER2 HSPH1 DNAJB1 UBC RANBP2 CXADR FOS PLK3 IRS2"
62,"Regulation of signaling ","NPTX2 PLK2 ERRFI1 DUSP4 GADD45G PAK6 DUSP6 TRIB1 LEMD3 BDNF ARC SMAD7 HOMER1 DNAJA1 FBXW7 THBS1 FOXO1 CITED2 ING2 TNIP2 IRS1 SCG2 HSPA1A PEG10 PTGS2 SH2D3C DUSP16 SRF HMGCR RGS2 RGS4 EGR1 APAF1 SOX9 RASL11B SYT4 LRRTM2 SLC16A1 LMNA ATF3 FZD5 IL16 NPAS4 FZD4 JUN DUSP8 IRS2 PELI1 LBH DUSP14 SIAH2 CUL3 DYRK2 NR4A2 CTNND1 PER2 MYC CXADR NUAK1 PPP1R15A UBC PLK3"
59,"Response to stress ","PPP1R15A PAK6 PLK3 HSPA1A CUL3 NUAK1 DNAJA1 FBXW7 DYRK2 GADD45G DNAJB1 EPRS MYC THBS1 FOXO1 BACH1 BTG2 ATF3 CITED2 FOS C2CD4B ADRB1 PTGS2 SRF HMGCR CPEB4 ERRFI1 SGK1 NR4A3 EGR1 APAF1 KLF2 KDM6B ABHD2 PLK2 NR4A2 LMNA FZD5 ING2 TNIP2 ARPP21 FZD4 JUN TSC22D2 PELI1 SMAD7 DUSP6 CCNK TRIB1 FLRT3 PER2 SH2D3C PLAGL1 HSPH1 UBC RANBP2 DNAJB4 SCG2 JMJD1C"
55,"Regulation of molecular function ","NPTX2 PPP1R15A APAF1 DUSP4 GADD45G PAK6 TRIB1 ARC ADRB1 NUAK1 SMAD7 FBXW7 NEDD9 SRF ERRFI1 DNAJB1 MYC THBS1 DUSP6 ARID5B FZD4 BDNF JUN SNX18 HSPA1A PTGS2 DNAJA1 CCNK EIF5 DUSP16 HMGCR RGS2 RGS4 HSPH1 EGR1 NR4A1 PLK2 HOMER1 RANBP2 NR4A2 DNAJB4 FZD5 SCG2 IL16 DUSP8 IRS2 PELI1 DUSP14 NAF1 SIAH2 PER2 IRS1 SGK1 UBC FOS"
54,"Regulation of biological quality ","CTNND1 ADRB1 MEST FBXW7 SYT4 PLK2 FOXO1 ARC SMAD7 PPP1R15A KCNJ2 KLF2 MYC THBS1 IRS1 BDNF HSPA1A C2CD4B FERMT2 PTGS2 SRF HMGCR RGS2 RGS4 NR4A3 EGR1 SOX9 FLRT3 GAD1 KDM6B PCDH8 AMIGO2 LRRTM2 HOMER1 SLC16A1 LMNA TIPARP CITED2 SLITRK5 TNIP2 NPAS4 FZD4 JUN IRS2 POU3F3 CUL3 TRA2B NAF1 CXADR GADD45G PER2 SGK1 UBC JMJD1C"
46,"Regulation of multicellular organismal process ","NPTX2 ADRB1 ERRFI1 SOX9 THBS1 DUSP6 BDNF SMAD7 SRF SYT4 FZD5 PTGS2 FBXW7 HMGCR RGS2 RGS4 NR4A3 EGR1 KCNJ2 FLRT3 KLF2 JUND KDM6B MYC AMIGO2 PLK2 LRRTM2 FOXO1 HOMER1 NR4A2 LMNA CITED2 SLITRK5 FOS TRIB1 FZD4 JUN EGR3 PELI1 ARC LBH HSPA1A GADD45G PER2 CXADR SGK1"
44,"Anatomical structure morphogenesis ","SGK1 SOX9 THBS1 SLITRK5 SCG2 FZD4 BDNF SRF NR4A1 SYT4 FZD5 EGR3 CUL3 FERMT2 PTGS2 RFX2 SMAD7 FBXW7 ERRFI1 NR4A3 APAF1 FLRT3 KLF2 KDM6B PCDH8 HS6ST1 FRMD6 PLK2 ARID5B FOXO1 NR4A2 ADAMTS1 ACAN TIPARP CITED2 ARL13B B3GNT2 JUNB LEMD3 JUN ARC NEDD9 MYC IRS2"
43,"Regulation of developmental process ","ERRFI1 SOX9 JUND THBS1 DUSP6 JUNB BDNF JUN SMAD7 NUAK1 SRF SYT4 LMNA ADRB1 FERMT2 PTGS2 FBXW7 HMGCR RGS2 RGS4 FLRT3 MYC AMIGO2 JDP2 PLK2 LRRTM2 FOXO1 CITED2 SLITRK5 ING2 FOS TRIB1 FZD4 EGR3 ARC LBH NEDD9 KLF2 HSPA1A EGR1 PER2 NR4A3 FZD5"
41,"Regulation of localization ","NAF1 FZD5 MEST SYT4 HOMER1 ARC ANKRD13A DNAJA1 NR4A3 KCNJ2 THBS1 IRS1 IL16 HSPA1A PTGS2 FBXW7 SRF HMGCR RGS2 RGS4 SOX9 MYC ABHD2 PLK2 LRRTM2 SLC16A1 LMNA KCNF1 JUN KCNA4 IRS2 ADAMTS1 NEDD9 EPRS CITED2 TRIB1 PLK3 PER2 SMAD7 SGK1 BDNF"
40,"Response to endogenous stimulus ","NR4A3 NR4A1 JUND ABHD2 FOXO1 NR4A2 IRS1 JUNB LEMD3 RGMB BDNF JUN IRS2 SMAD7 AHR SRF SOX9 THBS1 ING2 FOS PEG10 PTGS2 CPEB4 ERRFI1 EGR1 APAF1 FOSB FLRT3 KLF2 RASL11B EPRS MYC BTG2 CITED2 NPAS4 LBH FERMT2 EGR3 HSPA1A UBC"
