"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
1.14942956345064e-07,9,145,"Memory ","BDNF ARC PTGS2 KCNK10 PLK2 SYT4 NPAS4 SGK1 EGR1"
8.94486758772851e-07,10,286,"Learning or memory ","BDNF ARC PTGS2 KCNK10 BTG2 PLK2 SYT4 NPAS4 SGK1 EGR1"
8.94486758772851e-07,21,1855,"Tissue development ","ERRFI1 BDNF SMAD7 RGS2 PTGS2 COL10A1 FRMD6 HOMER1 BTG2 ARC ATF3 SLC25A25 NR4A3 FOSL2 AREG ACAN TIPARP PCDH8 EGR1 FZD5 HOXC4"
1.79667624481385e-06,10,317,"Cognition ","BDNF ARC PTGS2 KCNK10 BTG2 PLK2 SYT4 NPAS4 SGK1 EGR1"
3.19389439365201e-06,13,693,"Behavior ","BDNF ARC PTGS2 KCNK10 HOMER1 BTG2 PLK2 SYT4 NR4A3 SLC16A1 EGR1 NPAS4 SGK1"
3.55419363395981e-06,15,1003,"Response to organic cyclic compound ","PER1 NR4A3 AREG NPAS4 BTG2 ERRFI1 PTGS2 SLC16A1 TIPARP HOMER1 PELI1 SGK1 FOSL2 EGR1 BDNF"
4.71112643026644e-05,24,3205,"Response to organic substance ","NR4A3 BDNF EGR4 SMAD7 CPEB4 PER1 AREG EGR1 NPAS4 MEST NFIL3 PELI1 BTG2 RGS2 ERRFI1 PTGS2 TRIB1 SLC16A1 TIPARP FZD5 HOMER1 ATF3 SGK1 FOSL2"
0.000101947925886232,7,201,"Regulation of synaptic plasticity ","PLK2 ARC BDNF PTGS2 SYT4 NPAS4 EGR1"
0.000123205743586255,10,545,"Cellular response to organic cyclic compound ","NR4A3 NPAS4 ERRFI1 PTGS2 SLC16A1 TIPARP PER1 SGK1 EGR1 BDNF"
0.000153159780447329,5,76,"Negative regulation of synaptic transmission ","ARC BDNF PLK2 SYT4 PTGS2"
