"N","High level GO category","Genes"
37,"DNA-binding transcription factor activity ","KLF6 RFX2 ERF PLAGL1 EGR1 SOX9 KLF2 JUND EGR4 FOXO1 IRF2BP2 JUNB NPAS4 JUN EGR3 ATF3 FOSL2 AHR SRF NR4A3 MYC ARID5B BACH1 NFIL3 FOS SMAD7 NR4A1 FOSB JDP2 NR4A2 BTG2 CITED2 FOXG1 TSC22D2 POU3F3 GMEB2 ZBTB33"
25,"Small molecule binding ","ARL4A ARL5B ARL4D HSPA1A SLC2A3 HMGCR HSPH1 DYRK2 ZBTB33 NUAK1 DNAJA1 EIF5 RASD1 SGK1 APAF1 RASL11A RASL11B GAD1 EPRS PAK6 PLK2 ACAN ARL13B TRIB1 PLK3"
23,"Carbohydrate derivative binding ","ARL4A ARL5B ARL4D HSPA1A DYRK2 THBS1 NUAK1 DNAJA1 EIF5 RASD1 SGK1 HSPH1 APAF1 RASL11A RASL11B EPRS PAK6 PLK2 ADAMTS1 ACAN ARL13B TRIB1 PLK3"
21,"Molecular function regulator ","PPP1R15A CCNK SGK1 APAF1 RANBP2 SCG2 BDNF ADRB1 DNAJA1 FBXW7 HSPH1 DNAJB1 DNAJB4 JUN SH2D3C RGS2 RGS4 FLRT3 IL16 TRIB1 ERRFI1"
19,"Transferase activity ","RANBP2 CUL3 NUAK1 SGK1 HS6ST1 PAK6 PLK2 PIGA LCMT2 B3GNT2 PLK3 SIAH2 PELI1 CCNK DYRK2 TIPARP MED7 TRIB1 MARCH11"
18,"Hydrolase activity ","DUSP16 DUSP4 DUSP6 ABHD2 OTUD1 DUSP8 HSPA1A USPL1 MEST RASD1 RASL11A RASL11B ADAMTS1 DUSP14 EIF5 RGS2 RGS4 ARL4D"
14,"Enzyme regulator activity ","PPP1R15A CCNK APAF1 RANBP2 DNAJA1 FBXW7 HSPH1 DNAJB1 DNAJB4 JUN RGS2 RGS4 TRIB1 ERRFI1"
14,"Protein-containing complex binding ","CPEB4 IRS1 IRS2 MYC THBS1 ING2 FERMT2 SMAD7 PLK2 RANBP2 AHR CXADR FZD5 FZD4"
13,"Drug binding ","HSPA1A DYRK2 NUAK1 DNAJA1 SGK1 HSPH1 APAF1 GAD1 EPRS PAK6 PLK2 TRIB1 PLK3"
11,"Molecular transducer activity ","ADRB1 FZD5 RGMB FZD4 CCNK SMAD7 ABHD2 NR4A3 NR4A1 NR4A2 GPR19"
9,"Signaling receptor activity ","ADRB1 FZD5 RGMB FZD4 ABHD2 NR4A3 NR4A1 NR4A2 GPR19"
8,"Lipid binding ","SYT4 FERMT2 KCNJ2 THBS1 ING2 SNX18 SGK1 FZD5"
7,"Transporter activity ","SLC45A4 KCNJ2 SLC25A25 SLC16A1 KCNF1 KCNA4 SLC2A3"
7,"Transmembrane transporter activity ","SLC45A4 KCNJ2 SLC25A25 SLC16A1 KCNF1 KCNA4 SLC2A3"
5,"Oxidoreductase activity ","HMGCR KDM7A PTGS2 KDM6B JMJD1C"
5,"Molecular adaptor activity ","HOMER1 FBXW7 IRS1 FLRT3 SH2D3C"
4,"Nuclear receptor activity ","AHR NR4A3 NR4A1 NR4A2"
4,"Structural molecule activity ","NEFM THBS1 ACAN LMNA"
4,"Receptor regulator activity ","SCG2 BDNF FLRT3 IL16"
4,"Receptor ligand activity ","SCG2 BDNF FLRT3 IL16"
4,"Cofactor binding ","HMGCR PTGS2 GAD1 BACH1"
3,"Carbohydrate binding ","SLC2A3 NPTX2 ACAN"
3,"Demethylase activity ","KDM6B JMJD1C KDM7A"
2,"Guanyl-nucleotide exchange factor activity ","ADRB1 SH2D3C"
2,"Extracellular matrix structural constituent ","THBS1 ACAN"
2,"Lyase activity ","ODC1 GAD1"
2,"Amide binding ","FZD5 FZD4"
2,"Extracellular matrix binding ","THBS1 OLFML2B"
2,"Modified amino acid binding ","SYT4 THBS1"
2,"Sulfur compound binding ","THBS1 ADAMTS1"
