"N","High level GO category","Genes"
43,"Regulation of metabolic process ","RFX2 MED7 SH2D3C DNAJB4 LEMD3 ING2 APAF1 RGMB EGR4 CPEB4 TRIB1 GMEB2 NEDD9 DNAJB1 ERRFI1 LRRTM2 IRS1 CUL3 DUSP8 ZBTB33 ADRB1 NAF1 PLK3 TIPARP SIAH2 NR4A2 NUAK1 NR4A3 PLAGL1 PLK2 BACH1 RASL11A MN1 TSC22D2 DUSP14 DUSP16 POU3F3 KDM7A EGR3 FOSB ANKRD13A NR4A1 LMNA"
42,"Cellular response to stimulus ","ERRFI1 IRS1 ABHD2 ADRB1 LEMD3 PLK3 NR4A2 NUAK1 NR4A3 HOMER1 RGMB EGR4 SCG2 TRIB1 SYT4 NR4A1 GPR19 ING2 DNAJB1 NPTX2 SH2D3C CUL3 DUSP8 FLRT3 TIPARP SIAH2 APAF1 FERMT2 RASL11B PLK2 ARL13B BACH1 RASL11A DUSP14 DUSP16 CPEB4 EGR3 FOSB ARPP21 RFX2 LMNA CTNND1"
35,"Signaling ","ERRFI1 IRS1 ABHD2 ADRB1 LEMD3 NUAK1 PLK2 HOMER1 RGMB TRIB1 SYT4 GPR19 ING2 LRRTM2 NPTX2 SH2D3C CUL3 DUSP8 FLRT3 TIPARP SIAH2 APAF1 FERMT2 NR4A2 NR4A3 RASL11B ARL13B RASL11A DUSP14 DUSP16 SCG2 EGR3 NR4A1 CTNND1 LMNA"
35,"Negative regulation of biological process ","ERRFI1 DNAJB4 LEMD3 PLK3 PLK2 CPEB4 DNAJB1 LRRTM2 IRS1 CUL3 DUSP8 ZBTB33 ADRB1 NAF1 TIPARP SIAH2 ING2 NR4A2 NR4A3 HECA RASL11B BACH1 DUSP14 DUSP16 SCG2 POU3F3 TRIB1 EGR3 SYT4 ANKRD13A NR4A1 ABHD2 CTNND1 NEDD9 LMNA"
33,"Developmental process ","ERRFI1 NPTX2 ABHD2 NR4A2 SCG2 STMN4 LMNA LRRTM2 MED7 SLC25A25 CUL3 FLRT3 ADRB1 LEMD3 TIPARP SIAH2 ING2 APAF1 FERMT2 NUAK1 NR4A3 PLK2 HOMER1 ARL13B POU3F3 TRIB1 EGR3 ADAMTS1 SYT4 NR4A1 FRMD6 RFX2 NEDD9"
32,"Positive regulation of biological process ","SH2D3C ADRB1 ING2 APAF1 EGR4 TRIB1 NEDD9 RGMB LMNA LRRTM2 IRS1 CUL3 FLRT3 NAF1 PLK3 TIPARP NR4A2 NR4A3 PLK2 HOMER1 BACH1 RASL11A SCG2 POU3F3 KDM7A EGR3 GMEB2 ADAMTS1 FOSB SYT4 NR4A1 RFX2"
30,"Biosynthetic process ","RFX2 MED7 ABHD2 DNAJB4 LEMD3 ING2 RGMB EGR4 LCMT2 CPEB4 GMEB2 DNAJB1 IRS1 CUL3 ZBTB33 NAF1 PLK3 NR4A2 NR4A3 PLAGL1 BACH1 RASL11A MN1 TSC22D2 POU3F3 KDM7A TRIB1 EGR3 FOSB NR4A1"
30,"Multicellular organismal process ","ERRFI1 NPTX2 ABHD2 ADRB1 NR4A2 SCG2 STMN4 LRRTM2 MED7 SLC25A25 CUL3 FLRT3 LEMD3 TIPARP SIAH2 APAF1 NR4A3 PLK2 HOMER1 ARL13B MN1 POU3F3 TRIB1 EGR3 ADAMTS1 SYT4 NR4A1 RFX2 ING2 LMNA"
30,"Anatomical structure development ","ERRFI1 NPTX2 ABHD2 NR4A2 SCG2 STMN4 LRRTM2 SLC25A25 CUL3 FLRT3 LEMD3 TIPARP SIAH2 APAF1 FERMT2 NR4A3 PLK2 HOMER1 ARL13B POU3F3 TRIB1 EGR3 ADAMTS1 SYT4 NR4A1 FRMD6 RFX2 ING2 NEDD9 LMNA"
29,"Localization ","MEST NEDD9 HOMER1 ARL13B KCNF1 ARL4A SCG2 SYT4 LRRTM2 IRS1 SLC25A25 CUL3 FLRT3 PLK3 FERMT2 NR4A2 NR4A3 PLK2 SNX18 POU3F3 SLC45A4 TRIB1 EGR3 ADAMTS1 ANKRD13A ABHD2 ING2 FRMD6 LMNA"
27,"Cellular component organization ","NPTX2 CTNND1 NAF1 LEMD3 PLK3 FRMD6 NEDD9 ARL13B STMN4 DNAJB1 LRRTM2 OLFML2B CUL3 FLRT3 ING2 APAF1 FERMT2 NR4A2 NR4A3 PLK2 SNX18 KCNF1 KDM7A SYT4 ANKRD13A LMNA RFX2"
27,"Response to chemical ","IRS1 ABHD2 LEMD3 NR4A2 NR4A3 RGMB EGR4 SCG2 SYT4 NR4A1 GPR19 ING2 SLC25A25 CUL3 FLRT3 PLK3 TIPARP FERMT2 RASL11B HOMER1 BACH1 CPEB4 TRIB1 EGR3 FOSB RFX2 LMNA"
27,"Cellular component organization or biogenesis ","NPTX2 CTNND1 NAF1 LEMD3 PLK3 FRMD6 NEDD9 ARL13B STMN4 DNAJB1 LRRTM2 OLFML2B CUL3 FLRT3 ING2 APAF1 FERMT2 NR4A2 NR4A3 PLK2 SNX18 KCNF1 KDM7A SYT4 ANKRD13A LMNA RFX2"
22,"Regulation of response to stimulus ","ERRFI1 LEMD3 TRIB1 SYT4 ING2 NPTX2 IRS1 CUL3 DUSP8 SIAH2 APAF1 NR4A2 NUAK1 NR4A3 RASL11B PLK2 HOMER1 DUSP14 DUSP16 SCG2 CTNND1 LMNA"
21,"Regulation of signaling ","ERRFI1 LEMD3 PLK2 TRIB1 ING2 LRRTM2 NPTX2 IRS1 CUL3 DUSP8 SIAH2 APAF1 NR4A2 RASL11B HOMER1 DUSP14 DUSP16 SCG2 SYT4 CTNND1 LMNA"
19,"Regulation of molecular function ","APAF1 TRIB1 NEDD9 DNAJB1 ERRFI1 NPTX2 DUSP8 DNAJB4 ADRB1 NAF1 SIAH2 NR4A2 NUAK1 HOMER1 SNX18 DUSP14 DUSP16 SCG2 NR4A1"
18,"Response to stress ","PLK3 TSC22D2 DNAJB1 CUL3 ADRB1 ING2 APAF1 NR4A2 NUAK1 NR4A3 PLK2 BACH1 CPEB4 TRIB1 ARPP21 LMNA ABHD2 FLRT3"
18,"Anatomical structure morphogenesis ","SCG2 ERRFI1 CUL3 FLRT3 LEMD3 TIPARP APAF1 FERMT2 NR4A2 NR4A3 PLK2 ARL13B EGR3 ADAMTS1 SYT4 FRMD6 RFX2 NEDD9"
15,"Regulation of localization ","MEST HOMER1 SYT4 LRRTM2 IRS1 PLK3 NR4A3 PLK2 KCNF1 TRIB1 ADAMTS1 ANKRD13A ABHD2 NEDD9 LMNA"
15,"Locomotion ","NEDD9 SCG2 CUL3 FLRT3 NR4A2 NR4A3 PLK2 ARL13B POU3F3 TRIB1 EGR3 ADAMTS1 ABHD2 ING2 LMNA"
15,"Cell motility ","NEDD9 SCG2 CUL3 FLRT3 NR4A2 NR4A3 PLK2 ARL13B POU3F3 TRIB1 EGR3 ADAMTS1 ABHD2 ING2 LMNA"
15,"Localization of cell ","NEDD9 SCG2 CUL3 FLRT3 NR4A2 NR4A3 PLK2 ARL13B POU3F3 TRIB1 EGR3 ADAMTS1 ABHD2 ING2 LMNA"
15,"Regulation of biological quality ","MEST ADRB1 PLK2 SYT4 CTNND1 LRRTM2 IRS1 CUL3 FLRT3 NAF1 TIPARP NR4A3 HOMER1 POU3F3 LMNA"
14,"Response to endogenous stimulus ","IRS1 ABHD2 LEMD3 NR4A2 NR4A3 RGMB NR4A1 GPR19 ING2 FLRT3 FERMT2 RASL11B CPEB4 EGR3"
14,"Establishment of localization ","HOMER1 KCNF1 ARL4A SYT4 LRRTM2 IRS1 SLC25A25 CUL3 PLK3 NR4A3 SNX18 SLC45A4 ANKRD13A LMNA"
13,"Regulation of multicellular organismal process ","ERRFI1 ADRB1 LRRTM2 NPTX2 FLRT3 NR4A2 NR4A3 PLK2 HOMER1 TRIB1 EGR3 SYT4 LMNA"
12,"Cellular component biogenesis ","CTNND1 NAF1 ARL13B DNAJB1 LRRTM2 CUL3 FLRT3 FERMT2 PLK2 KCNF1 RFX2 NEDD9"
12,"Regulation of developmental process ","ERRFI1 LMNA LRRTM2 FLRT3 ADRB1 ING2 NUAK1 PLK2 TRIB1 EGR3 SYT4 NEDD9"
11,"Catabolic process ","CUL3 ABHD2 SIAH2 TRIB1 IRS1 NAF1 PLK3 FBXO33 TIPARP APAF1 PLK2"
11,"Macromolecule localization ","MEST ARL13B ARL4A IRS1 PLK3 FERMT2 SNX18 SYT4 ANKRD13A FRMD6 LMNA"
11,"Cellular localization ","ARL13B ARL4A SYT4 CUL3 PLK3 FERMT2 NR4A3 SNX18 ANKRD13A FRMD6 LMNA"
8,"System process ","ADRB1 NPTX2 NR4A3 PLK2 HOMER1 POU3F3 SYT4 LMNA"
8,"Cell adhesion ","CTNND1 RGMB FLRT3 FERMT2 NUAK1 NR4A3 EGR3 NEDD9"
8,"Cell proliferation ","ING2 NR4A3 SCG2 POU3F3 TRIB1 EGR3 ADAMTS1 LMNA"
8,"Response to external stimulus ","SCG2 SLC25A25 FLRT3 ADRB1 NR4A2 NR4A3 TRIB1 EGR3"
8,"Biological adhesion ","CTNND1 RGMB FLRT3 FERMT2 NUAK1 NR4A3 EGR3 NEDD9"
8,"Regulation of locomotion ","NR4A3 PLK2 SCG2 TRIB1 ADAMTS1 ABHD2 NEDD9 LMNA"
8,"Anatomical structure formation involved in morphogenesis ","SCG2 LEMD3 APAF1 NR4A3 PLK2 EGR3 ADAMTS1 RFX2"
7,"Response to abiotic stimulus ","TSC22D2 ADRB1 PLK3 NR4A2 BACH1 ARPP21 LMNA"
7,"Cell cycle process ","PLK3 PLK2 CUL3 SNX18 BACH1 ADAMTS1 ING2"
6,"Behavior ","NPTX2 NR4A2 NR4A3 PLK2 HOMER1 SYT4"
5,"Reproduction ","ABHD2 TIPARP ADAMTS1 RFX2 ING2"
5,"Immune system process ","SCG2 TIPARP NR4A3 TRIB1 EGR3"
5,"Developmental process involved in reproduction ","ABHD2 TIPARP ADAMTS1 RFX2 ING2"
5,"Reproductive process ","ABHD2 TIPARP ADAMTS1 RFX2 ING2"
5,"Multi-organism process ","ABHD2 TRIB1 ADAMTS1 RFX2 ING2"
4,"Sexual reproduction ","ABHD2 ADAMTS1 RFX2 ING2"
4,"Regulation of cell adhesion ","NUAK1 NR4A3 EGR3 NEDD9"
4,"Multicellular organism reproduction ","ABHD2 ADAMTS1 RFX2 ING2"
4,"Growth ","SLC25A25 FLRT3 ADRB1 SYT4"
4,"Taxis ","SCG2 FLRT3 NR4A3 EGR3"
4,"Regulation of cellular component biogenesis ","DNAJB1 LRRTM2 FLRT3 PLK2"
4,"Multi-organism reproductive process ","ABHD2 ADAMTS1 RFX2 ING2"
4,"Developmental growth ","SLC25A25 FLRT3 ADRB1 SYT4"
4,"Multicellular organismal reproductive process ","ABHD2 ADAMTS1 RFX2 ING2"
3,"Immune system development ","TIPARP TRIB1 EGR3"
3,"Regulation of immune system process ","NR4A3 TRIB1 EGR3"
2,"Protein folding ","DNAJB4 DNAJB1"
2,"Autophagy ","PLK3 PLK2"
2,"Cell growth ","FLRT3 SYT4"
2,"Methylation ","LCMT2 LMNA"
2,"Regulation of growth ","ADRB1 SYT4"
2,"Leukocyte activation ","NR4A3 EGR3"
2,"Rhythmic process ","SIAH2 ADAMTS1"
