"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
9.73262175038833e-08,9,145,"Memory ","BDNF ARC PTGS2 KCNK10 PLK2 SYT4 NPAS4 SGK1 EGR1"
7.27628568216859e-07,21,1855,"Tissue development ","ERRFI1 BDNF SMAD7 RGS2 PTGS2 COL10A1 FRMD6 HOMER1 BTG2 ARC ATF3 SLC25A25 NR4A3 FOSL2 AREG ACAN TIPARP PCDH8 EGR1 FZD5 HOXC4"
7.4590418812703e-07,10,286,"Learning or memory ","BDNF ARC PTGS2 KCNK10 BTG2 PLK2 SYT4 NPAS4 SGK1 EGR1"
1.50012782669865e-06,10,317,"Cognition ","BDNF ARC PTGS2 KCNK10 BTG2 PLK2 SYT4 NPAS4 SGK1 EGR1"
2.5367140369518e-06,13,693,"Behavior ","BDNF ARC PTGS2 KCNK10 HOMER1 BTG2 PLK2 SYT4 NR4A3 SLC16A1 EGR1 NPAS4 SGK1"
2.73133728047008e-06,15,1003,"Response to organic cyclic compound ","PER1 NR4A3 AREG NPAS4 BTG2 ERRFI1 PTGS2 SLC16A1 TIPARP HOMER1 PELI1 SGK1 FOSL2 EGR1 BDNF"
3.15483813659622e-05,24,3205,"Response to organic substance ","NR4A3 BDNF EGR4 SMAD7 CPEB4 PER1 AREG EGR1 NPAS4 MEST NFIL3 PELI1 BTG2 RGS2 ERRFI1 PTGS2 TRIB1 SLC16A1 TIPARP FZD5 HOMER1 ATF3 SGK1 FOSL2"
9.01088604055213e-05,7,201,"Regulation of synaptic plasticity ","PLK2 ARC BDNF PTGS2 SYT4 NPAS4 EGR1"
0.000103831899672631,10,545,"Cellular response to organic cyclic compound ","NR4A3 NPAS4 ERRFI1 PTGS2 SLC16A1 TIPARP PER1 SGK1 EGR1 BDNF"
0.00014009446679678,5,76,"Negative regulation of synaptic transmission ","ARC BDNF PLK2 SYT4 PTGS2"
