"RNAseqID","Mouse","year","Genotype","Region","jobnumber","Group"
"142C_CA1","15-142C",2015,"WT","CA1","JA16268","consistent"
"142C_DG","15-142C",2015,"WT","DG","JA16268","consistent"
"143A-CA3-1","15-143A",2015,"WT","CA3","JA16444","conflict"
"143A-DG-1","15-143A",2015,"WT","DG","JA16444","conflict"
"143B-CA1-1","15-143B",2015,"WT","CA1","JA16444","control"
"143B-DG-1","15-143B",2015,"WT","DG","JA16444","control"
"143C_CA1","15-143C",2015,"WT","CA1","JA16268","consistent"
"143C_DG","15-143C",2015,"WT","DG","JA16268","consistent"
"143C-CA1-1","15-143C",2015,"WT","CA1","JA16444","consistent"
"143D-CA1-3","15-143D",2015,"WT","CA1","JA16444","control"
"143D-DG-3","15-143D",2015,"WT","DG","JA16444","control"
"144A-CA1-2","15-144A",2015,"WT","CA1","JA16444","conflict"
"144A-CA3-2","15-144A",2015,"WT","CA3","JA16444","conflict"
"144A-DG-2","15-144A",2015,"WT","DG","JA16444","conflict"
"144B-CA1-1","15-144B",2015,"WT","CA1","JA16444","control"
"144B-CA3-1","15-144B",2015,"WT","CA3","JA16444","control"
"144C-CA1-2","15-144C",2015,"WT","CA1","JA16444","consistent"
"144C-CA3-2","15-144C",2015,"WT","CA3","JA16444","consistent"
"144C-DG-2","15-144C",2015,"WT","DG","JA16444","consistent"
"144D-CA3-2","15-144D",2015,"WT","CA3","JA16444","control"
"144D-DG-2","15-144D",2015,"WT","DG","JA16444","control"
"145A-CA1-2","15-145A",2015,"WT","CA1","JA16444","conflict"
"145A-CA3-2","15-145A",2015,"WT","CA3","JA16444","conflict"
"145A-DG-2","15-145A",2015,"WT","DG","JA16444","conflict"
"145B-CA1-1","15-145B",2015,"WT","CA1","JA16444","control"
"145B-DG-1","15-145B",2015,"WT","DG","JA16444","control"
"146A-CA1-2","15-146A",2015,"WT","CA1","JA16444","conflict"
"146A-CA3-2","15-146A",2015,"WT","CA3","JA16444","conflict"
"146A-DG-2","15-146A",2015,"WT","DG","JA16444","conflict"
"146B-CA1-2","15-146B",2015,"WT","CA1","JA16444","control"
"146B-CA3-2","15-146B",2015,"WT","CA3","JA16444","control"
"146B-DG-2","15-146B",2015,"WT","DG","JA16444","control"
"146C-CA1-4","15-146C",2015,"WT","CA1","JA16444","consistent"
"146C-DG-4","15-146C",2015,"WT","DG","JA16444","consistent"
"146D-CA1-3","15-146D",2015,"WT","CA1","JA16444","control"
"146D-CA3-3","15-146D",2015,"WT","CA3","JA16444","control"
"146D-DG-3","15-146D",2015,"WT","DG","JA16444","control"
"147-CA1-4","15-147",2015,"WT","CA1","JA16444","homecage"
"147-CA3-4","15-147",2015,"WT","CA3","JA16444","homecage"
"147-DG-4","15-147",2015,"WT","DG","JA16444","homecage"
"147C-CA1-3","15-147C",2015,"WT","CA1","JA16444","consistent"
"147C-CA3-3","15-147C",2015,"WT","CA3","JA16444","consistent"
"147C-DG-3","15-147C",2015,"WT","DG","JA16444","consistent"
"147D-CA3-1","15-147D",2015,"WT","CA3","JA16444","control"
"147D-DG-1","15-147D",2015,"WT","DG","JA16444","control"
"148-CA1-2","15-148",2015,"WT","CA1","JA16444","homecage"
"148-CA3-2","15-148",2015,"WT","CA3","JA16444","homecage"
"148-DG-2","15-148",2015,"WT","DG","JA16444","homecage"
"148A-CA1-3","15-148A",2015,"WT","CA1","JA16444","conflict"
"148A-CA3-3","15-148A",2015,"WT","CA3","JA16444","conflict"
"148A-DG-3","15-148A",2015,"WT","DG","JA16444","conflict"
"148B-CA1-4","15-148B",2015,"WT","CA1","JA16444","control"
"148B-CA3-4","15-148B",2015,"WT","CA3","JA16444","control"
"148B-DG-4","15-148B",2015,"WT","DG","JA16444","control"
