MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1923442	Abhd12	abhydrolase domain containing 12	2		response to auditory stimulus			IMP	MGI:5487621 	J:193716 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		auditory behavior			IMP	MGI:2153719 	J:51887 	
MGI:1274784	Adgrv1	adhesion G protein-coupled receptor V1	13		detection of mechanical stimulus involved in sensory perception of sound	happens in organ of Corti,happens in cochlear inner hair cell|happens in organ of Corti,happens in outer hair cell		IMP	MGI:3046273 	J:109595 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		cellular response to mechanical stimulus			ISO	RGD:2081 	J:155856 	
MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	19		cellular response to mechanical stimulus			ISO	Q15327 	J:164563 	
MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	19		response to muscle stretch			ISO	Q15327 	J:164563 	
MGI:1861447	Ankrd2	ankyrin repeat domain 2 (stretch responsive muscle)	19		response to muscle stretch			TAS		J:163577 	
MGI:1925571	Ankrd23	ankyrin repeat domain 23	1		response to muscle stretch	happens in skeletal muscle fiber		IGI	MGI:1097717 MGI:1861447 	J:125819 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7	NOT	detection of mechanical stimulus involved in sensory perception of pain			IMP		J:191353 	
MGI:3613666	Ano3	anoctamin 3	2		detection of mechanical stimulus			ISO	RGD:1308873 	J:155856 	
MGI:103201	Aqp1	aquaporin 1	6		cellular response to mechanical stimulus			ISO	P29972 	J:164563 	
MGI:2178103	Arhgdia	Rho GDP dissociation inhibitor (GDI) alpha	11		cellular response to mechanical stimulus			ISO	RGD:1359547 	J:155856 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		detection of mechanical stimulus involved in sensory perception			IMP	MGI:2180111 	J:76712 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		response to mechanical stimulus	happens in skin,happens in neuron		IMP	MGI:2180111 	J:76712 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		detection of mechanical stimulus involved in sensory perception			IMP	MGI:2429689 	J:73505 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		detection of mechanical stimulus involved in sensory perception of pain			IMP	MGI:2429689 	J:73505 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		detection of mechanical stimulus involved in sensory perception of pain			IMP	MGI:2451051 	J:81785 	
