MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1914283	2610005L07Rik	RIKEN cDNA 2610005L07 gene	8		luteinization			IGI	MGI:97530 	J:142042 	
MGI:1328365	Aanat	arylalkylamine N-acetyltransferase	11		circadian rhythm			IBA	PTN000097491 	J:265628 	
MGI:1328365	Aanat	arylalkylamine N-acetyltransferase	11		circadian rhythm			ISO	Q16613 	J:164563 	
MGI:1328365	Aanat	arylalkylamine N-acetyltransferase	11		rhythmic process			IEA	KW-0090 	J:60000 	
MGI:87916	Ada	adenosine deaminase	2		negative regulation of circadian sleep/wake cycle, non-REM sleep			ISO	RGD:2031 	J:155856 	
MGI:109249	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	16		ovulation from ovarian follicle			IMP	MGI:3574351 	J:96781 	
MGI:99677	Adcy1	adenylate cyclase 1	11		regulation of circadian rhythm			IMP		J:202325 	
MGI:99677	Adcy1	adenylate cyclase 1	11		rhythmic process			IEA	KW-0090 	J:60000 	
MGI:99401	Adora1	adenosine A1 receptor	1		negative regulation of circadian sleep/wake cycle, non-REM sleep			ISO	RGD:2048 	J:155856 	
MGI:99401	Adora1	adenosine A1 receptor	1		negative regulation of circadian sleep/wake cycle, sleep			ISO	RGD:2048 	J:155856 	
MGI:99402	Adora2a	adenosine A2a receptor	10		positive regulation of circadian sleep/wake cycle, sleep			ISO	RGD:2049 	J:155856 	
MGI:87937	Adrb1	adrenergic receptor, beta 1	19		regulation of circadian sleep/wake cycle, sleep			IMP		J:279954 	
MGI:87937	Adrb1	adrenergic receptor, beta 1	19		regulation of circadian sleep/wake cycle, sleep			ISO	P08588 	J:164563 	
MGI:1929289	Adrm1	adhesion regulating molecule 1	2		follicle-stimulating hormone signaling pathway			IMP		J:166694 	
MGI:87951	Afp	alpha fetoprotein	5		ovulation from ovarian follicle			IMP	MGI:2388722 	J:79500 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		ovarian follicle rupture	has the participant ovary follicle		IMP	MGI:1857122 	J:69609 	
MGI:87968	Ahcy	S-adenosylhomocysteine hydrolase	2		circadian sleep/wake cycle			ISO	RGD:69260 	J:155856 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		circadian regulation of gene expression			IDA		J:162974 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		rhythmic process			IEA	KW-0090 	J:60000 	
MGI:87991	Alb	albumin	5		positive regulation of circadian sleep/wake cycle, non-REM sleep			ISO	RGD:2085 	J:155856 	
MGI:88006	Amh	anti-Mullerian hormone	10		preantral ovarian follicle growth			ISO	RGD:2108 	J:155856 	
MGI:2686021	Ankfn1	ankyrin-repeat and fibronectin type III domain containing 1	11		locomotor rhythm			IMP	MGI:2183465 	J:221935 	
MGI:96819	Anxa1	annexin A1	19		estrous cycle			IBA	PTN000052711 	J:265628 	
MGI:1096381	Arntl	aryl hydrocarbon receptor nuclear translocator-like	7		circadian regulation of gene expression			IDA		J:188853 J:209571 	
MGI:1096381	Arntl	aryl hydrocarbon receptor nuclear translocator-like	7		circadian regulation of gene expression			IMP		J:147991 J:148217 J:162641 J:187450 J:206897 	
MGI:1096381	Arntl	aryl hydrocarbon receptor nuclear translocator-like	7		circadian regulation of gene expression			ISO	O00327 	J:164563 	
