"","pval","direction","color","goodgenes","GOterm","Punch"
"61/87 structural constituent of ribosome",1.00000000000009e-15,1,"lightsalmon","61/87","structural constituent of ribosome","CA1"
"24/55 rRNA binding",2.29571103546872e-08,1,"lightsalmon","24/55","rRNA binding","CA1"
"87/742 signal transducer activity",7.22417433067256e-08,0,"red","87/742","signal transducer activity","CA1"
"72/441 chromatin binding",6.57866840828746e-09,0,"red","72/441","chromatin binding","CA1"
"80/723 sequence-specific DNA binding transcription factor activity",1.00902341442959e-11,0,"red","80/723","sequence-specific DNA binding transcription factor activity","CA1"
"83/660 sequence-specific DNA binding",2.55410561036707e-10,0,"red","83/660","sequence-specific DNA binding","CA1"
"71/514 regulatory region nucleic acid binding",1.93408425592833e-08,0,"red","71/514","regulatory region nucleic acid binding","CA1"
"31/64 hydrogen ion transmembrane transporter activity",1.00902341442959e-11,1,"lightsalmon","31/64","hydrogen ion transmembrane transporter activity","CA1"
"18/36 oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",1.02470018886584e-11,1,"lightsalmon","18/36","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","CA1"
"111/577 oxidoreductase activity",5.11441343625878e-11,1,"lightsalmon","111/577","oxidoreductase activity","CA1"
"23/62 oxidoreductase activity, acting on NAD(P)H",3.13332410394635e-10,1,"lightsalmon","23/62","oxidoreductase activity, acting on NAD(P)H","CA1"
